RLC1 EMBEDDED CONSTANTS AUDIT — score_claim=false
Scope: every numeric literal in the six changed receiver source files (all lines, including inherited portions). Archive bytes are counted, not code.
Content-selected config is exactly19 bytes: class=1; low=128; high=320; history=16; priorDen=4; minCount=4; residualMax=36; slopeMax=2; widthDen=2; widthMultiplier=3; spanMax=24; bins=0,1,2,4,8,16. It is loaded from RLC1 rider bytes45..63. Forty signed fitted weights occupy bytes5..44; version is byte4. Native sees parsed config only. No TC4 class/map selectors are present in this candidate.
A source literal can equal a selected value without supplying it: e.g.255 is uint8 bound;2 is proven slope-domain ceiling, while the actual slope comes from cfg[7]. Those constants enforce arithmetic safety and cannot reconstruct a selected geometry choice.
New generic arithmetic predeclared before pricing: public shape384x512/K5; HPAC64-cell slots and190 groups; six moment coordinates; Q16=65536; integer root's2-bit shifts, nearest-even half/unit, int64/int128 bounds; binary packing offsets and format/version tags. C cfg indices0..16 label serialized fields, never values.
Inherited literals: exact same source line occurs in move40's same relative file. Their provenance is the immutable move40 format/receiver, with its compliance adjudication by MAIN; no claim of freshly auditing all inherited mechanisms. Inherited mixer lines map to tc3 adaptive receiver algorithm (KT half-count smoothing, ratio clip1/16..16, fixed-log arithmetic, weights/state dimensions); its fitted weights stay counted.
Pins in inflate.py are non-reconstructive archive identity metadata. Proof BLAS1/4 and advisory mode are environmental test controls; normal runtime remains CUDA/T4-declared.
No scorer, GT, source-video, absolute external imports, learned table or per-frame content is added to receiver code. All data-derived scalars are in archive.zip.

LITERAL CENSUS
inflate.py:19 literal=180173 | GENERIC archive integrity pin or explicit proof/device/thread control | ARCHIVE_BYTES = 180173
runtime/rlc1_geometry.c:88 literal=1 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | between=(((uint64_t)1<<h)-1)^(((uint64_t)1<<(l+1))-1);
runtime/rlc1_geometry.c:88 literal=1 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | between=(((uint64_t)1<<h)-1)^(((uint64_t)1<<(l+1))-1);
runtime/rlc1_geometry.c:88 literal=1 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | between=(((uint64_t)1<<h)-1)^(((uint64_t)1<<(l+1))-1);
runtime/rlc1_geometry.c:92 literal=10 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | bad[y]=g->ambiguous[y][s] || (g->other[y][s]&between) || bothhi-bothlo>g->cfg[10];
runtime/rlc1_geometry.c:93 literal=0 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | int64_t c=sums[0], sy=sums[1], syy=sums[2], sx=sums[3], sxy=sums[4], sxx=sums[5];
runtime/rlc1_geometry.c:93 literal=1 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | int64_t c=sums[0], sy=sums[1], syy=sums[2], sx=sums[3], sxy=sums[4], sxx=sums[5];
runtime/rlc1_geometry.c:93 literal=2 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | int64_t c=sums[0], sy=sums[1], syy=sums[2], sx=sums[3], sxy=sums[4], sxx=sums[5];
runtime/rlc1_geometry.c:93 literal=3 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | int64_t c=sums[0], sy=sums[1], syy=sums[2], sx=sums[3], sxy=sums[4], sxx=sums[5];
runtime/rlc1_geometry.c:93 literal=4 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | int64_t c=sums[0], sy=sums[1], syy=sums[2], sx=sums[3], sxy=sums[4], sxx=sums[5];
runtime/rlc1_geometry.c:93 literal=5 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | int64_t c=sums[0], sy=sums[1], syy=sums[2], sx=sums[3], sxy=sums[4], sxx=sums[5];
runtime/rlc1_geometry.c:95 literal=0 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | if(c>=g->cfg[5]*g->cfg[4] && d>0 && !badsum && b<=g->cfg[7]*d && b>=-g->cfg[7]*d) {
runtime/rlc1_geometry.c:95 literal=4 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | if(c>=g->cfg[5]*g->cfg[4] && d>0 && !badsum && b<=g->cfg[7]*d && b>=-g->cfg[7]*d) {
runtime/rlc1_geometry.c:95 literal=5 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | if(c>=g->cfg[5]*g->cfg[4] && d>0 && !badsum && b<=g->cfg[7]*d && b>=-g->cfg[7]*d) {
runtime/rlc1_geometry.c:95 literal=7 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | if(c>=g->cfg[5]*g->cfg[4] && d>0 && !badsum && b<=g->cfg[7]*d && b>=-g->cfg[7]*d) {
runtime/rlc1_geometry.c:95 literal=7 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | if(c>=g->cfg[5]*g->cfg[4] && d>0 && !badsum && b<=g->cfg[7]*d && b>=-g->cfg[7]*d) {
runtime/rlc1_geometry.c:98 literal=6 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | if(r<=g->cfg[6]*den) {
runtime/rlc1_geometry.c:100 literal=0 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | uint64_t squared=r>0?(uint64_t)(r*g->cfg[9]*Q*Q/den):0;
runtime/rlc1_geometry.c:100 literal=0 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | uint64_t squared=r>0?(uint64_t)(r*g->cfg[9]*Q*Q/den):0;
runtime/rlc1_geometry.c:100 literal=9 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | uint64_t squared=r>0?(uint64_t)(r*g->cfg[9]*Q*Q/den):0;
runtime/rlc1_geometry.c:101 literal=8 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | int64_t w=(int64_t)root(squared), minimum=Q/g->cfg[8];
runtime/rlc1_geometry.c:103 literal=1 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | valid[y][s]=1;
runtime/rlc1_geometry.c:106 literal=0 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | for(int j=0;j<6;j++) {
runtime/rlc1_geometry.c:106 literal=6 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | for(int j=0;j<6;j++) {
runtime/rlc1_geometry.c:107 literal=4 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | sums[j]+=g->cfg[4]*g->now[j][y][s]+g->old[j][y][s];
runtime/rlc1_geometry.c:108 literal=3 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | if(y>=g->cfg[3]) sums[j]-=g->cfg[4]*g->now[j][y-g->cfg[3]][s]+g->old[j][y-g->cfg[3]][s];
runtime/rlc1_geometry.c:108 literal=3 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | if(y>=g->cfg[3]) sums[j]-=g->cfg[4]*g->now[j][y-g->cfg[3]][s]+g->old[j][y-g->cfg[3]][s];
runtime/rlc1_geometry.c:108 literal=3 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | if(y>=g->cfg[3]) sums[j]-=g->cfg[4]*g->now[j][y-g->cfg[3]][s]+g->old[j][y-g->cfg[3]][s];
runtime/rlc1_geometry.c:108 literal=4 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | if(y>=g->cfg[3]) sums[j]-=g->cfg[4]*g->now[j][y-g->cfg[3]][s]+g->old[j][y-g->cfg[3]][s];
runtime/rlc1_geometry.c:111 literal=3 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | if(y>=g->cfg[3]) badsum-=bad[y-g->cfg[3]];
runtime/rlc1_geometry.c:111 literal=3 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | if(y>=g->cfg[3]) badsum-=bad[y-g->cfg[3]];
runtime/rlc1_geometry.c:114 literal=0 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | for(int i=0;i<n;i++) {
runtime/rlc1_geometry.c:116 literal=8 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | out[i]=8;
runtime/rlc1_geometry.c:117 literal=1 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | if(y<g->cfg[1] || y>=g->cfg[2]) continue;
runtime/rlc1_geometry.c:117 literal=2 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | if(y<g->cfg[1] || y>=g->cfg[2]) continue;
runtime/rlc1_geometry.c:119 literal=0 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | for(int s=0;s<S;s++) if(valid[y][s]) {
runtime/rlc1_geometry.c:122 literal=0 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | if(a<0) a=-a;
runtime/rlc1_geometry.c:123 literal=0 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | if(b<0) b=-b;
runtime/rlc1_geometry.c:127 literal=7 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | if(best==INT64_MAX) out[i]=7;
runtime/rlc1_geometry.c:128 literal=0 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | else { int j=0; while(j<6 && best>g->cfg[11+j]) j++; out[i]=(uint8_t)j; }
runtime/rlc1_geometry.c:128 literal=11 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | else { int j=0; while(j<6 && best>g->cfg[11+j]) j++; out[i]=(uint8_t)j; }
runtime/rlc1_geometry.c:128 literal=6 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | else { int j=0; while(j<6 && best>g->cfg[11+j]) j++; out[i]=(uint8_t)j; }
runtime/rlc1_geometry.py:17 literal=384 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | H, W, K = 384, 512, 5
runtime/rlc1_geometry.py:17 literal=5 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | H, W, K = 384, 512, 5
runtime/rlc1_geometry.py:17 literal=512 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | H, W, K = 384, 512, 5
runtime/rlc1_geometry.py:19 literal=2 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | GROUP = X % 64 + 2 * (Y % 64)
runtime/rlc1_geometry.py:19 literal=64 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | GROUP = X % 64 + 2 * (Y % 64)
runtime/rlc1_geometry.py:19 literal=64 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | GROUP = X % 64 + 2 * (Y % 64)
runtime/rlc1_geometry.py:20 literal=1 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | POSITIONS = tuple(np.flatnonzero(GROUP.reshape(-1) == g) for g in range(190))
runtime/rlc1_geometry.py:20 literal=190 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | POSITIONS = tuple(np.flatnonzero(GROUP.reshape(-1) == g) for g in range(190))
runtime/rlc1_geometry.py:28 literal=0 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | if not (v[0] < K and 0 <= v[1] < v[2] <= H):
runtime/rlc1_geometry.py:28 literal=0 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | if not (v[0] < K and 0 <= v[1] < v[2] <= H):
runtime/rlc1_geometry.py:28 literal=1 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | if not (v[0] < K and 0 <= v[1] < v[2] <= H):
runtime/rlc1_geometry.py:28 literal=2 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | if not (v[0] < K and 0 <= v[1] < v[2] <= H):
runtime/rlc1_geometry.py:32 literal=1 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | 1 <= v[3] <= 16
runtime/rlc1_geometry.py:32 literal=16 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | 1 <= v[3] <= 16
runtime/rlc1_geometry.py:32 literal=3 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | 1 <= v[3] <= 16
runtime/rlc1_geometry.py:33 literal=1 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | and 1 <= v[4] <= 4
runtime/rlc1_geometry.py:33 literal=4 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | and 1 <= v[4] <= 4
runtime/rlc1_geometry.py:33 literal=4 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | and 1 <= v[4] <= 4
runtime/rlc1_geometry.py:34 literal=1 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | and 1 <= v[5] <= 255
runtime/rlc1_geometry.py:34 literal=255 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | and 1 <= v[5] <= 255
runtime/rlc1_geometry.py:34 literal=5 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | and 1 <= v[5] <= 255
runtime/rlc1_geometry.py:35 literal=1 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | and 1 <= v[6] <= 255
runtime/rlc1_geometry.py:35 literal=255 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | and 1 <= v[6] <= 255
runtime/rlc1_geometry.py:35 literal=6 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | and 1 <= v[6] <= 255
runtime/rlc1_geometry.py:36 literal=1 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | and 1 <= v[7] <= 2
runtime/rlc1_geometry.py:36 literal=2 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | and 1 <= v[7] <= 2
runtime/rlc1_geometry.py:36 literal=7 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | and 1 <= v[7] <= 2
runtime/rlc1_geometry.py:37 literal=1 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | and 1 <= v[8] <= 255
runtime/rlc1_geometry.py:37 literal=255 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | and 1 <= v[8] <= 255
runtime/rlc1_geometry.py:37 literal=8 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | and 1 <= v[8] <= 255
runtime/rlc1_geometry.py:38 literal=1 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | and 1 <= v[9] <= 255
runtime/rlc1_geometry.py:38 literal=255 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | and 1 <= v[9] <= 255
runtime/rlc1_geometry.py:38 literal=9 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | and 1 <= v[9] <= 255
runtime/rlc1_geometry.py:39 literal=10 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | and v[10] < 64
runtime/rlc1_geometry.py:39 literal=64 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | and v[10] < 64
runtime/rlc1_geometry.py:42 literal=11 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | if any(a >= b for a, b in itertools.pairwise(v[11:])):
runtime/rlc1_geometry.py:57 literal=0 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | or np.any(previous < 0)
runtime/rlc1_geometry.py:78 literal=0 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | self.group = 0
runtime/rlc1_geometry.py:112 literal=0 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | or np.any(symbols < 0)
runtime/rlc1_geometry.py:118 literal=1 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | self.plane.reshape(-1)[positions] = symbols
runtime/rlc1_geometry.py:119 literal=1 | GENERIC public shape/HPAC schedule, cfg field index, Q16 integer arithmetic, or proven parser integer-domain bound | self.group += 1
runtime/rlc1_mixer.py:15 literal=384 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | K, H, W, BINS = 5, 384, 512, 9
runtime/rlc1_mixer.py:15 literal=5 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | K, H, W, BINS = 5, 384, 512, 9
runtime/rlc1_mixer.py:15 literal=512 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | K, H, W, BINS = 5, 384, 512, 9
runtime/rlc1_mixer.py:15 literal=9 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | K, H, W, BINS = 5, 384, 512, 9
runtime/rlc1_mixer.py:21 literal=1 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | length = 1 + 40 + FORMAT.size
runtime/rlc1_mixer.py:21 literal=40 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | length = 1 + 40 + FORMAT.size
runtime/rlc1_mixer.py:22 literal=1 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | if len(payload) <= 4 + length or payload[:4] != MAGIC or payload[4] not in (1, 17):
runtime/rlc1_mixer.py:22 literal=17 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | if len(payload) <= 4 + length or payload[:4] != MAGIC or payload[4] not in (1, 17):
runtime/rlc1_mixer.py:22 literal=4 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | if len(payload) <= 4 + length or payload[:4] != MAGIC or payload[4] not in (1, 17):
runtime/rlc1_mixer.py:22 literal=4 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | if len(payload) <= 4 + length or payload[:4] != MAGIC or payload[4] not in (1, 17):
runtime/rlc1_mixer.py:22 literal=4 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | if len(payload) <= 4 + length or payload[:4] != MAGIC or payload[4] not in (1, 17):
runtime/rlc1_mixer.py:24 literal=15 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | config, stream = bytes([payload[4] & 15]) + payload[5 : 4 + length], payload[4 + length :]
runtime/rlc1_mixer.py:24 literal=4 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | config, stream = bytes([payload[4] & 15]) + payload[5 : 4 + length], payload[4 + length :]
runtime/rlc1_mixer.py:24 literal=4 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | config, stream = bytes([payload[4] & 15]) + payload[5 : 4 + length], payload[4 + length :]
runtime/rlc1_mixer.py:24 literal=4 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | config, stream = bytes([payload[4] & 15]) + payload[5 : 4 + length], payload[4 + length :]
runtime/rlc1_mixer.py:24 literal=5 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | config, stream = bytes([payload[4] & 15]) + payload[5 : 4 + length], payload[4 + length :]
runtime/rlc1_mixer.py:25 literal=41 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | parse_config(config[41:])
runtime/rlc1_mixer.py:26 literal=16 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | if payload[4] & 16:
runtime/rlc1_mixer.py:26 literal=4 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | if payload[4] & 16:
runtime/rlc1_mixer.py:39 literal=0 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | if len(config) != 41 + FORMAT.size or config[0] != 1:
runtime/rlc1_mixer.py:39 literal=1 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | if len(config) != 41 + FORMAT.size or config[0] != 1:
runtime/rlc1_mixer.py:39 literal=41 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | if len(config) != 41 + FORMAT.size or config[0] != 1:
runtime/rlc1_mixer.py:42 literal=0 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | self.variant = config[0]
runtime/rlc1_mixer.py:43 literal=41 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | parse_config(config[41:])
runtime/rlc1_mixer.py:44 literal=1 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | raw = np.frombuffer(config[1:41], dtype=np.int8).copy()
runtime/rlc1_mixer.py:44 literal=41 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | raw = np.frombuffer(config[1:41], dtype=np.int8).copy()
runtime/rlc1_mixer.py:45 literal=35 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | self.old = base.SharedMixer(raw[:35].tobytes())
runtime/rlc1_mixer.py:46 literal=1 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | self.weights = raw[35:].reshape(K, 1)
runtime/rlc1_mixer.py:46 literal=35 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | self.weights = raw[35:].reshape(K, 1)
runtime/rlc1_mixer.py:64 literal=0.5 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | ratio = (self.counts + 0.5) / (self.expected.astype(np.float64) / TOTAL + 0.5)
runtime/rlc1_mixer.py:64 literal=0.5 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | ratio = (self.counts + 0.5) / (self.expected.astype(np.float64) / TOTAL + 0.5)
runtime/rlc1_mixer.py:65 literal=1 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | self.table = base.log2_fixed(np.clip(ratio, 1 / 16, 16))
runtime/rlc1_mixer.py:65 literal=16 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | self.table = base.log2_fixed(np.clip(ratio, 1 / 16, 16))
runtime/rlc1_mixer.py:65 literal=16 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | self.table = base.log2_fixed(np.clip(ratio, 1 / 16, 16))
runtime/rlc1_mixer.py:75 literal=41 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | self.geometry = LaneGeometry(previous, self.config[41:])
runtime/rlc1_mixer.py:78 literal=1 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | phi = np.empty((len(rows), K, 1), dtype=np.int16)
runtime/rlc1_mixer.py:80 literal=1 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | arg = freq.argmax(axis=1)
runtime/rlc1_mixer.py:82 literal=0 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | extra[bins == 8] = 0
runtime/rlc1_mixer.py:82 literal=8 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | extra[bins == 8] = 0
runtime/rlc1_mixer.py:83 literal=1 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | phi[:, :, -1] = extra
runtime/rlc1_mixer.py:93 literal=0 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | inactive = np.all(phi[:, :, 0] == 0, axis=1)
runtime/rlc1_mixer.py:93 literal=0 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | inactive = np.all(phi[:, :, 0] == 0, axis=1)
runtime/rlc1_mixer.py:93 literal=1 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | inactive = np.all(phi[:, :, 0] == 0, axis=1)
runtime/rlc1_mixer.py:106 literal=1 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | truth = np.asarray(plane, dtype=np.uint8).reshape(-1)
runtime/rlc1_mixer.py:107 literal=1 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | np.testing.assert_array_equal(self.geometry.plane.reshape(-1), truth)
runtime/rlc1_mixer.py:108 literal=1 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | code = self.base.argmax(axis=1) * BINS + self.bins
runtime/rlc1_mixer.py:109 literal=1 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | self.counts += np.bincount(code * K + truth, minlength=K * BINS * K).reshape(-1, K)
runtime/rlc1_mixer.py:130 literal=4 | GENERIC inherited adaptive-coder arithmetic; format/index/cardinality; all weights/config read from rider | self.old.restore({k[4:]: v for k, v in state.items() if k.startswith("old_")})

OFFLINE PRODUCER / REFERENCE / CONTROL SOURCE CENSUS
The sample seed20260910 and random n32 plan were chosen before controls. Source archive sizes/digests and frame count are custody metadata. Encoder FORMAT.pack values are the pr8/tc3 settings explicitly written to geometry_config.bin and the counted rider. Storage limits and launch/test endpoints describe apparatus. Compiler-cache flags and checkpoint25->26 endpoints do not enter free receiver behavior.
experiments/ddm_rlc1_cached_cc.py:26 literal=1 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | argv = sys.argv[1:]
experiments/ddm_rlc1_cached_cc.py:27 literal=2 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | if len(argv) < 2 or argv[-2] != "-o":
experiments/ddm_rlc1_cached_cc.py:27 literal=2 | OFFLINE producer/reference/control; not shipped in receiver. Public geometry/indexing or fixed test/format/storage arithmetic; actual video-selected config/weights are counted as described above. | if len(argv) < 2 or argv[-2] != "-o":
